tweets,lebron directly,lakers / lebron,sentiment
"In the ultimate LA-stepchild move, the Clippers signed Russell Westbrook. It is a move that makes no sense to me. You simply cannot win with Russ.",N,,
Why in the world would Mike McCarthy need to take shots at Kellen Moore? Continuing to demonize and vilify him after winning the power struggle... You got him fired. More,N,,
Why do Mike McCarthy and Jerry Jones keep raving publicly about Max Duggan??? Now on,N,,
Westbrook’s contagious to everybody else. He hangs over the team and sets a tone that others tend to follow.,N,,
Eddie House joins us to debate Luka/Kyrie and Westbrick. Now on,N,,
Antoine Davis nearly tied Pete Maravich’s all-time NCAA scoring record last night… and still might get another shot at it. We debate how impressive this was now on,N,,
Mike McCarthy just drove me even crazier with what he said yesterday about Kellen Moore. Now on,N,,
Ex-Raven Shannon Sharpe and I are about to discuss what has happened to the once mighty Ravens. Now on,N,,
WHAT I HAVE BEEN TOLD ABOUT LEBRON’S INJURY. NOW ON,Y,,neutral
I can’t lose in these shoes. MJ FOREVER,N,,
"as we debate Luka/Kyrie, Westbrick/Clippers, Mike McCarthy taking shots at Kellen Moore, Ravens controversy… and I have some news about LeBron’s injury condition.",N,,
"The Clippers just lost the 3rd q at Golden State 42-16. They are on their way to going 0-4 since inexplicably adding Russell Westbrook, who is on his way to going 0-14 in the last 14 games he has started.",N,,
"Still not sold on Luka/Kyrie fitting and working. They very nearly blew a 25-pt lead at home tonight after the 27-pt collapse to the Lakers. They were playing a tired, lifeless Philly on a road back-to-back and the Mavs made 25-48 threes! 52%! Aberration.",N,,
"Antoine Davis had a last-second 3 to tie Pete Maravich's all-time NCAA scoring record but missed. I tell you what Maravich meant to me in the final topic of this week's ""Skip Bayless Show"":",N,,
"Here's this week's ""Skip Bayless Show"" as I deep-dive into how Russell Westbrook has haunted me in so many ways for so many years:",N,,
Eagles dissension? Now on,N,,
Would Jalen Ramsey make the Cowboys a Super Bowl contender?,N,,
NFL Players report shockingly bad working conditions. Now on,N,,
"Kevin Durant walks in the door and it looks like he’s 22-years-old. The jumper is rust proof, right out of the box. I don’t know how he always does it.",N,,
Eddie House joins us to talk Suns championship chances and Ja.,N,,
Why the Lakers aren’t out of it. Now on,N,,
How will Jalen Carter’s legal issues affect his draft stock? N,N,,
More trouble for Ja Morant. Now on,N,,
Is Kevin Durant about to win another championship? Now,N,,
The Lakers have one player - and only one - who can close games. Dennis Schoder,,Y,hating
ou can have the Nuggets in the West. Give me the Suns,N,,
"In his return from injury, Kevin Durant looked a whole lot like KEVIN DURANT.",N,,
"WAY TO GO, VANDERBILT: My Commodores just upset Kentucky at Rupp after losing their best player, Liam Robbins. Congrats to Jerry Stackhouse, who can COACH. Congrats to 2-time SEC Scholar Athlete of the Year Jordan Wright, who made the winning fallaway j.",N,,
"Welcome back, Kevin Durant. And welcome home. This is where you belong, with CP3 and Book. You made your mistake following Kyrie. That nightmare is over. New dawn. Suns rising.",N,,
"Michael Jordan played all 82 games 9 times, including his final season at age 39. He also played 81 and 80. LeBron has played all 82 only once, but also has an 81 and an 80. AD has played all 82 zero times, but did manage 75 twice. MJ didn't let little aches and pains stop him",Y,,hating
Should the Eagles’ QB push be outlawed? Now on,N,,
Ex-NBA players vote Steph by far the most enjoyable player to watch over LeBron. HUH??? Now,Y,,neutral?
This is not working. I now officially feel sorry for Luka. M,N,,
Mel Kiper says Bryce Young’s weight is a much bigger issue than his height. We debate no,N,,
Why isn’t it working with Kyrie and Luka? Now o,N,,
Now what happens with Aaron Rodgers? No,N,,
Ex-NBA players vote LeBron as the current best player. HUH??? No,Y,,hating
Andy Reid says he’s “so happy for Eric Bieniemy.” Should we,N,,
I did not expect the Lakers to win the game even with LeBron. Memphis is a tough team to beat at home. AD is more of a complimentary who’s often always disappointing.,Y,,neutral / slightly critical
Clippers fall to 0-3 with Russell Westbrook. How much is he to blame?,N,,
WHY DID KYRIE TAKE THE LAST SHOT? NOW ON,N,,
NOW WHAT’S GOING ON WITH LEBRON? NOW ON,Y,,neutral
"Westbrook has 8 assists in the first half. And of course, at home the Clippers trail the TWolves. Please don't tell me the Clippers are about to lose their third straight since they fell into the Westbrook trap that the Lakers escaped.",N,,
"On a final play clearly called for Kyrie, down 2, he took AND MISSED the 3 to win, guarded by Indy's McConnell. Luka just watched. He cannot love the new 4th q pecking order. Before tonight, in his games w Kyrie, Luka had taken 10 4th q shots to Kyrie's 33. THIS ISN'T WORKING.",N,,
AD wound up with good numbers - 28 & 19. But he wasn't much of a rim-protecting force - Memphis scored 86 in the paint. And the Lakers failed to cash so many chances - season high 26 turnovers. Just too sloppy. AD not That Guy without LeBron. Or at least DLo. Or even Russ.,,Y,neutral / slightly critical
"Lakers are still in this game, down 10 with 6:45 left. AD has played OK - 22 & 16. But he hasn't IMPOSED HIS WILL ON OFFENSE - just 7 of 17. He's the best player on the floor. He should display that down the stretch.",,,
"Wait, now Shams is reporting that LeBron's RIGHT foot - the one now in the medical boot - has been bothering him since January and that he played through IT??? What about the LEFT foot that kept him out the 3 games before the All-Star break??? I am so confused.",Y,,critical
"Did LeBron get an MRI, as was reported he would? Did he get 2nd/3rd opinions from foot specialists, as reported? No idea. He's still with the team in Memphis, even though the latest is the team will wait 2 weeks to evaluate his progress.",Y,,critical
"Near the end of the 1st quarter, LeBron walked (limped?) out to the Lakers' bench in Memphis wearing some kind of protective walking boot. What he did in Dallas, playing the entire 4th q on that foot, scoring 11 more pts, was nothing short of miraculous.",Y,,"critical, sarcastic"
"The mystery grows: For weeks neither the Lakers nor LeBron would say what was wrong with his LEFT foot. Ankle? Foot sprain? Toe? Now we're left in the dark about his RIGHT foot, which somehow was injured on a routine drive to the basket. If he ""heard something pop,"" what popped?",Y,,critical
Today's Undisputed podcast:,N,,
Jayson Tatum got thrown out for the first time in his career and he loved and needed it. Now on,N,,
How much will the NBA miss LeBron? Is he still the league’s biggest gate attraction… or is it now Steph? Now on,Y,,critical
Jason Kidd is going to get himself fired criticizing Luka. Now on,N,,
"The better more valuable player on the Lakers right now is Anthony Davis. In Year 20, at age 38, LeBron is the 2nd-best player on the Lakers. AD should give you a chance to stay afloat.",,Y,neutral / slightly critical
Kevin Durant is not going to be pleased nor should he.,N,,
How far can Anthony Davis carry the Lakers without LeBron?,N,Y,
Giannis makes a joke on ‘The Daily Show’ about KD joining super teams that didn’t sound like a joke. Now o,N,,
EPORT: BRYCE YOUNG IS ONLY 5’10”. BUT I SAY HE WILL STILL BE BETTER THAN JUSTIN FIELDS. NOW O,N,,
NOW WHAT’S GOING ON WITH LEBRON’S LATEST MYSTERIOUS INJURY? NOW ON,Y,,critical
"I was right all along about Carson Wentz, just as I was right from the start in predicting Jalen Hurts would make Philly forget Carson ""Winc",N,,
"Well, looks like LeBron's Lakers will miss the playoffs for a second straight season. But hey, at least LeBron became the NBA's All-Time Leading Scorer, which was all that really mattered.",Y,,hating / critical
Jimmy Butler just willed in a wild up-and-under through Embiid - Shot of Year candidate - that won the game for the Heat. Harden had a good look from 3 to save it but back-ironed.,N,,
"Just when I sing the praises of the Sixers and Embiid for MVP on Undisputed, they play a lifeless home first half vs a Miami that has lost 4 straight, trail by 8 at half. Joel: 14 and 4 rebs WITH 4 TURNOVERS. Unfocused. Unconscionable. Jimmy Butler embarrassing his ex-team",N,,
"Please explain how LeBron said he ""heard a pop"" when he went down yesterday - yet continued playing, scored 11 more pts, DHam said afterward LBJ is ""good"" ... and now Shams reports he could miss ""extended time""??? Why & how did he continue playing w/o a limp if it was this bad???",Y,,critical
he Bears will make a big mistake if they keep Justin Fields and pass on Bryce Young. Now on,N,,
Embiid>>>>>>>>Jokic for MVP.,N,,
Why Kyrie and Luka will not work.,N,,
"Jake Paul can flat-out box. If he couldn't box, he would've gotten annihilated by a Tommy Fury who was even more impressive.",N,,
Russell Westbrook was a bad idea for the Clippers.,N,,
First it was LeBron’s hand injury. Now it’s his foot again. How concerned should the Lakers be? Now on,Y,,neutral 
We’re about to react to Brandon Miller’s “pat-down” intro routine.,N,,
Here’s why Dame’s performance was a 9 out of 10:,N,,
Are the Clippers about to have a Russell Westbrook problem? Now on,N,,
Why I wasn’t all that impressed with Damian’s 71.,N,,
,,,
,,,
,,,20/75 mentioning lebron or the lakers 
